# Source: Manual Técnico SIFEN v150, Tabla 2.1 (DEPARTAMENTOS, DISTRITOS Y CIUDADES)
# Original file: CODIGO DE REFERENCIA GEOGRAFICA.xlsx (DNIT 2023)
# Generated by: scripts/generate_geo_catalogs.py
codigo,nombre,nombre_display,codigo_padre,activo
1,CAPITAL,CAPITAL,,1
2,CONCEPCION,CONCEPCION,,1
3,SAN PEDRO,SAN PEDRO,,1
4,CORDILLERA,CORDILLERA,,1
5,GUAIRA,GUAIRA,,1
6,CAAGUAZU,CAAGUAZU,,1
7,CAAZAPA,CAAZAPA,,1
8,ITAPUA,ITAPUA,,1
9,MISIONES,MISIONES,,1
10,PARAGUARI,PARAGUARI,,1
11,ALTO PARANA,ALTO PARANA,,1
12,CENTRAL,CENTRAL,,1
13,NEEMBUCU,NEEMBUCU,,1
14,AMAMBAY,AMAMBAY,,1
15,PTE. HAYES,PTE. HAYES,,1
16,BOQUERON,BOQUERON,,1
17,ALTO PARAGUAY,ALTO PARAGUAY,,1
18,CANINDEYU,CANINDEYU,,1
